id,longsor,jenis_tanah,batuan,hadap_lereng,jarak_sungai,lereng,penutup_lahan,pga,jarak_struktur,jarak_jalan,elevasi
0,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
1,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
2,1,6.00000,8.00000,5.00000,1.00000,5.00000,3.00000,5.00000,1.00000,5.00000,10.00000
3,1,6.00000,8.00000,5.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
4,1,6.00000,8.00000,5.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
5,1,6.00000,8.00000,5.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
6,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
7,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
8,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
9,1,6.00000,8.00000,5.00000,1.00000,5.00000,3.00000,5.00000,1.00000,5.00000,10.00000
10,1,6.00000,8.00000,5.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
11,1,6.00000,8.00000,5.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
12,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
13,1,6.00000,8.00000,5.00000,1.00000,3.00000,3.00000,5.00000,1.00000,5.00000,10.00000
14,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
15,1,6.00000,8.00000,5.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
16,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
17,1,6.00000,8.00000,5.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
18,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
19,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
20,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
21,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
22,1,6.00000,8.00000,1.00000,1.00000,5.00000,3.00000,5.00000,1.00000,5.00000,10.00000
23,1,6.00000,8.00000,1.00000,1.00000,5.00000,3.00000,5.00000,1.00000,5.00000,10.00000
24,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
25,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
26,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
27,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
28,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
29,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
30,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
31,1,6.00000,8.00000,1.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
32,1,6.00000,8.00000,5.00000,1.00000,4.00000,3.00000,5.00000,1.00000,5.00000,10.00000
33,1,6.00000,8.00000,5.00000,1.00000,5.00000,3.00000,5.00000,1.00000,5.00000,10.00000
